DSM-5 criteria for substance dependence,Item in PUMP
(1) More use than was intended,"5, 6"
(2) desire/unsuccessful efforts to cut down/control use,/
(3) spending a great deal of time,"7, 8"
(4) craving,"9, 10"
(5) resulting in a failure to fulfill major role obligations,"15, 16"
(6) continued use despite social/interpersonal problems,"19, 20"
(7) reduction or giving up of activities,"11, 12"
(8) use in situations in which it is physically hazardous,"17, 18"
(9) continued use despite physical/psychological consequences,"13, 14"
(10) tolerance,"1, 2"
(11) withdrawal,"3, 4"
