"

Motivational regulation strategies","Study 1
Academic performance (                         N                        = 145)
c","Study 1
Academic performance (                         N                        = 145)
c’","Study 1
Academic performance (                         N                        = 145)
ab                        (95% CI)","
Dropout intention (                         N                        = 240–241)
c","
Dropout intention (                         N                        = 240–241)
c’","
Dropout intention (                         N                        = 240–241)
ab                        (95% CI)","Study 2
Academic performance (                         N                        = 180)
c","Study 2
Academic performance (                         N                        = 180)
c’","Study 2
Academic performance (                         N                        = 180)
ab                        (95% CI)","
Dropout intention (                         N                        = 186)
c","
Dropout intention (                         N                        = 186)
c’","
Dropout intention (                         N                        = 186)
ab                        (95% CI)"
Overall strategy score,−0.32                           ⁎⁎⁎,−0.23                           ⁎,−0.09 (−0.19/0.01),−0.15                           ⁎,−0.02,−0.13 (−0.21/−0.05),−0.13                           ⁎,−0.05,−0.08 (−0.16/−0.02),−0.16                           ⁎,−0.03,−0.13 (−0.23/−0.04)
Mastery self−talk,−0.31                           ⁎⁎⁎,−0.21                           ⁎,−0.09 (−0.20/0.01),−0.15                         ⁎,−0.03,−0.12 (−0.19/−0.05),−0.15                           ⁎,−0.07,−0.08 (−0.16/−0.02),−0.21                           ⁎⁎,−0.10,−0.11 (−0.22/−0.03)
Performance−approach self−talk,−0.20                           ⁎,−0.05,−0.15 (−0.27/−0.05),−0.20                           ⁎⁎,−0.10,−0.10 (−0.18/−0.03),−0.18                           ⁎⁎,−0.11,−0.07 (−0.14/−0.01),−0.26                           ⁎⁎⁎,−0.15,−0.11 (−0.21/−0.02)
Performance−avoidance self−talk,−0.16,−0.11,−0.05 (−0.10/−0.01),0.01,0.05,−0.04 (−0.08/−0.01),−0.02,0.00,−0.02 (−0.06/0.02),0.03,0.06,−0.03 (−0.09/0.02)
Enhancement of situational interest,−0.16                           ⁎,−0.14,−0.03 (−0.08/0.02),0.02,0.05,−0.03 (−0.07/0.01),0.00,0.04,−0.04 (−0.09/−0.00),−0.04,0.01,−0.05 (−0.12/0.00)
Enhancement of personal significance,−0.20                           ⁎,−0.16                           ⁎,−0.03 (−0.09/0.01),−0.03,0.01,−0.03 (−0.08/0.00),−0.13                           ⁎,−0.09,−0.04 (−0.09/−0.00),−0.16                           ⁎,−0.10,−0.06 (−0.14/−0.01)
Environmental control,−0.11,−0.03,−0.08 (−0.14/−0.03),−0.10,−0.02,−0.08 (−0.14/−0.04),−0.09,0.01,−0.10 (−0.18/−0.03),−0.00,0.18                           ⁎,−0.18 (−0.29/−0.09)
Proximal goal setting,−0.15,−0.04,−0.11 (−0.19/−0.05),−0.13                           ⁎,−0.05,−0.09 (−0.15/−0.04),−0.12,−0.06,−0.06 (−0.11/−0.01),−0.12,−0.03,−0.09 (−0.18/−0.02)
Self−consequating,−0.15,−0.10,−0.05 (−0.11/−0.01),−0.09,−0.03,−0.06 (−0.12/−0.02),−0.06,0.01,−0.07 (−0.13/−0.02),−0.08,0.02,−0.10 (−0.18/−0.03)
