,PhAC,CAS,Molecular formula,RT(min)                           1,Monoisotopic mass,m/z                        molecular ion [                         M                        +                         H                        ]                         +,Fragment ion
1,Acetaminophen,103–90–2,C                         8                        H                         9                        NO                         2,0.48,151.0633,152.0706,110.0598
2,Acridone,578–95–0,C                         13                        H                         9                        NO,4.28,195.0684,196.0757,167.0734
3,Atenolol,"29,122–68–7",C                         14                        H                         22                        N                         2                        O                         3,0.38,266.1631,267.1703,145.0638
4,Bezafibrate,"41,859–67–0",C                         19                        H                         20                        ClNO                         4,7.40,361.1081,362.1153,138.9944
5,Bromazepam,1812–30–2,C                         14                        H                         10                        BrN                         3                        O,0.3,315.0007,316.0080,182.0836
6,Caffeine,58–08–2,C                         8                        H                         10                        N                         4                        O                         2,1.13,194.0804,195.0877,138.0655
7,Carazolol,"57,775–29–8",C                         18                        H                         22                        N                         2                        O                         2,3.78,298.1681,299.1754,116.1078
8,Carbamazepine,298–46–4,C                         15                        H                         12                        N                         2                        O,5.31,236.0950,237.1022,194.0949
9,Chlorpromazine,50–53–3,C                         17                        H                         19                        ClN                         2                        S,6.72,318.0957,319.1030,86.0962
10,Clarithromycin,"81,103–11–9",C                         38                        H                         69                        NO                         13,6.87,747.4769,748.4842,158.1174
11,Codeine,76–57–3,C                         18                        H                         21                        NO                         3,0.63,299.1521,300.1594,215.1067
12,Diazepam,439–14–5,C                         16                        H                         13                        ClN                         2                        O,7.3,284.0717,285.0790,154.0413
13,Diltiazem,"42,399–41–7",C                         22                        H                         26                        N                         2                        O                         4                        S,5.53,414.1613,415.1686,178.0305
14,Erythromycin,114–07–8,C                         37                        H                         67                        NO                         13,5.78,733.4612,734.4685,158.1176
15,Fenofibrate,"49,562–28–9",C                         20                        H                         21                        ClO                         4,8.71,360.1128,361.1201,138.9945
16,Flumequine,"42,835–25–6",C                         14                        H                         12                        FNO                         3,5.22,261.0801,262.0874,244.0775
17,Fluoxetine †,"54,910–89–3",C                         17                        H                         18                        F                         3                        NO,6.29,309.1341,310.1414,148.1118
18,Furazolidone,67–45–8,C                         8                        H                         7                        N                         3                        O                         5,1.48,225.0386,226.0459,122.0106
19,Ketamine,6740–88–1,C                         13                        H                         16                        ClNO,1.58,237.0920,238.0993,125.0149
20,Ketoprofen,"22,071–15–4",C                         16                        H                         14                        O                         3,7.05,254.0943,255.1016,105.0328
21,Lamotrigine,"84,057–84–1",C                         9                        H                         7                        Cl                         2                        N                         5,1.85,255.0079,256.0152,210.9820
22,Loratadine,"79,794–75–5",C                         22                        H                         23                        ClN                         2                        O                         2,7.8,382.1448,383.1521,337.1115
23,Lorazepam,846–49–1,C                         15                        H                         10                        Cl                         2                        N                         2                        O                         2,6.28,320.0119,321.0183,275.0144
24,Mefenamic acid †,61–68–7,C                         15                        H                         15                        NO                         2,7.39,241.1103,242.1176,224.1074
25,Mephedrone,"1189,805–46–6",C                         11                        H                         15                        NO,1.14,177.1154,178.1227,145.0887
26,Methadone,76–99–3,C                         21                        H                         27                        NO,6.32,309.2093,310.2166,105.0328
27,Metoprolol,"51,384–51–1",C                         15                        H                         25                        NO                         3,2.23,267.1834,268.1907,133.0657
28,Midazolam,"59,467–70–8",C18H13ClFN3,4.66,325.0782,326.0855,291.1152
29,Nalidixic acid,389–08–2,C                         12                        H                         12                        N                         2                        O                         3,4.66,232.0848,233.0921,187..0504
30,Oxazepam,604–75–1,C                         15                        H                         11                        ClN                         2                        O                         2,5.89,286.0509,287.0582,241.0528
31,Oxcarbazepine,"28,721–07–5",C                         15                        H                         12                        N                         2                        O                         2,4.23,252.0899,253.0972,180.0810
32,Propyphenazone,479–92–5,C                         14                        H                         18                        N                         2                        O,5.26,230.1419,231.1492,189.1024
33,Salbutamol,"18,559–94–9",C                         13                        H                         21                        NO                         3,0.32,239.1521,240.1594,148.0752
34,Sertraline,"79,617–96–2",C                         17                        H                         17                        Cl                         2                        N,6.76,305.0738,306.0811,158.9765
35,Sotalol †,3930–20–9,C                         12                        H                         20                        N                         2                        O                         3                        S,0.34,272.1195,273.1268,133.0766
36,Sulfadimethoxine,122–11–2,C                         12                        H                         14                        N                         4                        O                         4                        S,4.01,310.0736,311.0809,108.0443
37,Sulfamethazine,57–68–1,C                         12                        H                         14                        N                         4                        O                         2                        S,1.58,278.0837,279.0910,92.0500
38,Sulfamethoxazole,723–46–6,C                         10                        H                         11                        N                         3                        O                         3                        S,2.41,253.0521,254.0594,156.1260
39,Sulfapyridine,144–83–2,C                         11                        H                         11                        N                         3                        O                         2                        S,0.95,249.0572,250.0645,108.0441
40,Temazepam,846–50–4,C                         16                        H                         13                        ClN                         2                        O                         2,6.7,300.0666,301.0739,255.0679
41,Trimethoprim,738–70–5,C                         14                        H                         18                        N                         4                        O                         3,1.32,290.1379,291.1452,230.1169
42,Valsartan,"137,862–53–4",C                         24                        H                         29                        N                         5                        O                         3,7.83,435.2271,436.2344,235.0972
43,Valsartan acid,,C                         14                        H                         10                        N                         4                        O                         2,4.24,266.0804,267.0877,206.0602
44,Venlafaxine,"93,413–69–5",C                         17                        H                         27                        NO                         2,3.32,277.2042,278.2115,58.0656
45,Verapamil,52–53–9,C                         27                        H                         38                        N                         2                        O                         4,6.56,454.2832,455.2905,165.0906
46,Warfarin,81–81–2,C                         19                        H                         16                        O                         4,7.61,308.1049,309.1122,251.0695
47,Zolpidem,"82,626–48–0",C                         19                        H                         21                        N                         3                        O,3.37,307.1685,308.1758,235.1232
