"Family
Family","Average fish abundance (n plot                         −1                        )
Bare sand","Average fish abundance (n plot                         −1                        )
Reef ball","Average fish abundance (n plot                         −1                        )
Rock pile","Average fish abundance (n plot                         −1                        )
Layered cake"
Labridae,1.6 ± 3.4,5.5 ± 6.2,8.4 ± 9.9,12 ± 8.2
Holocentridae,0 ± 0,0.7 ± 1,0.6 ± 0.6,8 ± 4.9
Pomacentridae,0.1 ± 0.3,1.2 ± 1.1,1 ± 1.2,6.1 ± 5.9
Scaridae,0.1 ± 0.4,0.3 ± 0.8,0.9 ± 1.4,3.2 ± 5.2
Acanthuridae,0 ± 0.2,0.5 ± 0.8,1.5 ± 1.8,1.6 ± 1.9
Haemulidae,0.1 ± 0.3,0.1 ± 0.4,1.7 ± 2.3,0.7 ± 1.9
Serranidae,0 ± 0,0.3 ± 0.5,0.7 ± 1.4,1.5 ± 1.7
Apogonidae,0 ± 0,0 ± 0,0.1 ± 0.5,1.3 ± 2.8
Congridae,1 ± 1.5,0 ± 0,0 ± 0,0 ± 0
Mullidae,0.1 ± 0.4,0.2 ± 0.5,0.2 ± 0.4,0.3 ± 0.5
Other,0 ± 0.2,0.8 ± 0.6,0.5 ± 0.9,2.1 ± 2
Total,3.1 ± 3.7,9.6 ± 7,15.5 ± 8.3,36.7 ± 14.3
