Source,Sum of Squares,df,Mean Square,F-value,p-value,
Model,2.89,14,0.2066,33.32,< 0.0001,significant
A-Extraction,0.0034,1,0.0034,0.5418,0.4786,
B-Permanganate ion,1.68,1,1.68,270.55,< 0.0001,
C-pH,0.0021,1,0.0021,0.3326,0.5769,
D-Time,0.0075,1,0.0075,1.21,0.2979,
AB,0.0033,1,0.0033,0.5245,0.4855,
AC,0.0372,1,0.0372,5.99,0.0344,
AD,0.0175,1,0.0175,2.83,0.1235,
BC,0.0003,1,0.0003,0.0545,0.8202,
BD,0.0101,1,0.0101,1.63,0.2301,
CD,0.0011,1,0.0011,0.1712,0.6877,
A                         2,0.0015,1,0.0015,0.2442,0.6318,
B                         2,0.1791,1,0.1791,28.88,0.0003,
C                         2,0.0013,1,0.0013,0.2081,0.6580,
D                         2,0.0088,1,0.0088,1.42,0.2611,
Residual,0.0620,10,0.0062,,,
Lack of Fit,0.0571,7,0.0082,5.04,0.1059,not significant
Pure Error,0.0049,3,0.0016,,,
Cor Total,2.95,24,,,,
