"Results of DXA
Results of DXA","Genotype
TT                        n = 27","Genotype
TC                        n = 58","Genotype
CC                        n = 29","p-                        value
p                         *TT                         vs                        TC                        **TT                         vs                        CC                        ***TC                         vs                        CC"
L1-L4 BMD,0.81 ± 0.15,0.86 ± 0.12,0.88 ± 0.17,p                          = 0.0529
L1-L4 T-score,−3.07 ± 1.21,−2.61 ± 1.08,−2.47 ± 1.43,p                          = 0.0273                           *                           p                          = 0.0426                           **                           p                          = 0.0525                         ***p = 0.9999
L1-L4 Z-score,−1.12 ± 1.05,−0.77 ± 1.05,−0.57 ± 1.41,p                        = 0.1201
FN BMD I,0.73 ± 0.16,0.73 ± 0.12,0.74 ± 0.14,p                        = 0.8440
FN T-score,−2.23 ± 1.14,−2.22 ± 0.81,−2.29 ± 0.95,p                        = 0.8985
FN Z-score,−0.3 ± 1.05,−0.26 ± 0.88,−0.44 ± 0.87,p                        = 0.6053
Bone fractures Total,20 (74.1%),48 (82.8%),24 (82.8%),p                        = 0.60718
Vertebral fractures,14 (51.9%),30 (52.6%),17 (58.6%),p                        = 0.84267
Hip fractures,3 (11.1%),3 (5.3%),4 (13.8%),p                        = 0.37556
Other fractures,13 (48.2%),35 (61.4%),15 (51.7%),p                        = 0.45806
Bone fractures by mother,5 (18.5%),11 (19.3%),11 (37.9%),p                        = 0.12043
