"
","STAT3+
CCRT (n = 41)","STAT3+
RT alone (n = 21)","
P","STAT3-
CCRT (n = 24)","STAT3-
RT alone (n = 11)","
P-value"
Median age (range),59 (43-71),60 (46-82),0.036                            a,56 (32-65),61 (41-78),0.024                            a
Sex,,,0.155                            b,,,0.181                            b
male,33 (80%),16 (76%),,17 (71%),7 (64%),
female,8 (20%),5 (24%),,7 (29%),4 (36%),
KPS,NA,NA,,NA,NA,
Localization,,,0.178                            b,,,0.124                            b
oral cavity,17 (41%),9 (43%),,13 (54%),4 (36%),
oropharynx,18 (44%),6 (29%),,6 (25%),1 (9%),
HPV/p16 status,NA,NA,,NA,NA,
hypopharynx,4 (10%),6 (29%),,5 (21%),6 (55%),
larynx,2 (5%),0 (0%),,0 (0%),0 (0%),
T stage,,,0.341,,,0.540                            b
T1,2 (5%),0 (0%),b,0 (0%),0 (0%),
T2,8 (20%),2 (10%),,0 (0%),0 (0%),
T3,15 (37%),9 (43%),,14 (58%),6 (55%),
T4,16 (39%),10 (48%),,10 (42%),5 (45%),
N stage,,,0.098                            b,,,0.348                            b
N0,6 (15%),0 (0%),,1 (4%),1 (9%),
N1,2 (5%),4 (19%),,7 (29%),5 (45%),
N2,32 (78%),17 (81%),,15 (63%),3 (27%),
N3,1 (2%),0 (0%),,1 (4%),2 (18%),
