"Resin: 71 μmol/mL Cu                         2+                        Binding Capacity
","Resin: 71 μmol/mL Cu                         2+                        Binding Capacity
Purified Protein","Resin: 71 μmol/mL Cu                         2+                        Binding Capacity
CM Protein"
q                           m                          (mg/mL),38.08,32.90
k                           L6                          (mL/mg),7.23,6.46
k                           L4                          (mL/mg),3.19,2.24
Resin: 83 μmol/mL Cu                         2+                        Binding Capacity,,
,Purified Protein,CM Protein
q                           m                          (mg/mL),39.95,35.87
k                           L6                          (mL/mg),7.99,7.13
k                           L4                          (mL/mg),3.28,2.31
Resin: 94 μmol/mL Cu                         2+                        Binding Capacity,,
,Purified Protein,CM Protein
q                           m                          (mg/mL),39.16,36.40
k                           L6                          (mL/mg),10.19,10.20
k                           L4                          (mL/mg),3.31,3.02
