"Predictors November
Previous year","Lack of emotional support March 2019 (                         N                        =3,983)
N                        (%)","Lack of emotional support March 2019 (                         N                        =3,983)
aOR (95% CI)                         1","Lack of emotional support March 2020 (                         N                        =3,980)
N                        (%)","Lack of emotional support March 2020 (                         N                        =3,980)
aOR (95% CI)                         2"
High ADS levels,,,,
- no (ref.),511 (15.4)                         ⁎⁎⁎,1,475 (14.4)                         ⁎⁎⁎,1
- yes,301 (45.1),3.68 (3.04-4.45)                         ⁎⁎⁎,308 (45.9),4.21 (3.47-5.12)                         ⁎⁎⁎
Gender,,,,
- man (ref.),387 (19.7),1,356 (18.1)*,1
- woman,425 (21.0),1.04 (0.88-1.23),428 (21.2),1.07 (0.90-1.28)
Educational level,,,,
- low (ref.),244 (24.1)                         ⁎⁎⁎,1,222 (22.4)                         ⁎⁎⁎,1
- medium,308 (21.2),0.86 (0.70-1.06),303 (21.2),1.06 (0.86-1.32)
- high,260 (17.2),0.71 (0.57-0.88)                         ⁎⁎,259 (16.6),0.84 (0.67-1.06)
Domestic situation,,,,
- (un)married co. without c. (ref.),215 (15.8)                         ⁎⁎⁎,1,210 (15.2)                         ⁎⁎⁎,1
- (un)married co. with c.,301 (22.1),1.20 (0.96-1.51),277 (20.9),1.36 (1.08-1.72)*
- single with c.,53 (23.3),1.06 (0.72-1.56),52 (23.3),1.42 (0.97-2.09)                         +
- single,222 (23.5),1.29 (1.03-1.62)*,220 (23.0),1.37 (1.09-1.73)                         ⁎⁎
- other,21 (21.9),1.17 (0.69-2.00),25 (24.8),1.65 (1.00-2.75)                         +
Employment status,,,,
- paid employment (ref.),373 (19.5)                         ⁎⁎⁎,1,355 (18.3)                         ⁎⁎⁎,1
- self-employed,39 (19.0),1.04 (0.71-1.54),32 (15.0),0.86 (0.57-1.29)
- job seeker,36 (33.6),2.01 (1.28-3.15)                         ⁎⁎,26 (29.5),1.31 (0.78-2.21)
- student,82 (23.8),0.92 (0.66-1.29),52 (18.8),0.65 (0.44-0.95)*
- takes care of housekeeping,61 (20.3),0.90 (0.63-1.28),80 (25.7),1.46 (1.04-2.05)*
- pensioner,121 (15.3),0.84 (0.55-1.28),144 (17.5),1.14 (0.76-1.72)
- (partial) work dis.,64 (35.8),1.26 (0.87-1.83),62 (33.2),1.21 (0.83-1.76)
- other,37 (26.4),1.03 (0.66-1.60),34 (23.9),1.05 (0.67-1.65)
Age categories (in years),,,,
- 18-34 (ref.),238 (22.4)                         ⁎⁎⁎,1,198 (20.0)                         ⁎⁎,1
- 35-49,242 (25.7),1.27 (0.99-1.62)                         +,214 (23.5),1.06 (0.82-1.37)
- 50-64,178 (17.3),0.78 (0.60-1.02)                         +,189 (18.2),0.85 (0.65-1.11)
- 65 and older,154 (16.2),0.92 (0.60-1.43),183 (17.6),0.84 (0.55-1.65)
Ethnicity,,,,
- native (ref.),571 (18.0)                         ⁎⁎⁎,1,566 (17.9)                         ⁎⁎⁎,1
- non-native,241 (29.4),1.56 (1.29-1.90)                         ⁎⁎⁎,218 (26.6),1.41 (1.16-1.73)                         ⁎⁎
Lung problems,,,,
- no (ref.),584 (18.5)                         ⁎⁎⁎,1,562 (17.8)                         ⁎⁎⁎,1
- yes,228 (27.4),1.35 (1.11-1.64)                         ⁎⁎,223 (26.9),1.27 (1.04-1.55)*
Heart problems,,,,
- no (ref.),737 (19.7)                         ⁎⁎⁎,1,700 (18.8)                         ⁎⁎⁎,1
- yes,75 (29.9),1.28 (0.93-1.77),84 (31.8),1.33 (0.97-1.82)                         +
Diabetes,,,,
- no (ref.),776 (20.3),1,735 (19.3)                         ⁎⁎,1
- yes,36 (21.8),1.06 (0.70-1.60),49 (27.5),1.38 (0.95-2.00)                         +
