"Absorbance
Frequency","Absorbance
Control","Absorbance
Asymptomatic","Absorbance
Symptomatic","Absorbance
p                            a","Absorbance
p                            b"
226 Hz,0.162,0.070,0.025,0.000001,0.000001
257 Hz,0.170,0.072,0.023,0.000001,0.000001
324 Hz,0.167,0.055,0.004,0.000001,0.000001
408 Hz,0.260,0.111,0.038,0.000001,0.000001
500 Hz,0.318,0.139,0.053,0.000001,0.000001
630 Hz,0.462,0.246,0.138,0.000001,0.000001
794 Hz,0.551,0.399,0.260,0.000001,0.000001
1000 Hz,0.699,0.569,0.448,0.000001,0.000001
1260 Hz,0.749,0.628,0.547,0.017,0.280
1587 Hz,0.642,0.633,0.631,0.667,1.000
2000 Hz,0.602,0.616,0.678,0.175,1.000
2520 Hz,0.595,0.643,0.884,0.020,0.340
3175 Hz,0.580,0.699,0.845,0.003,0.060
4000 Hz,0.493,0.584,0.800,0.005,0.080
5040 Hz,0.203,0.105,0.209,0.527,1.000
6350 Hz,0.318,0.181,0.239,0.071,1.000
8000 Hz,0.255,0.121,0.038,0.203,1.000
