Neurotransmitter/neuromodulator,Receptors in LC,Effect on LC
Glutamate,"NMDA, AMPA",Excitatory
GABA,GABA             A,Inhibitory
NE,Alpha-2,Inhibitory
DA,"D             1            , D             2",Inhibitory
Acetylcholine,Nicotinic,Excitatory
Serotonin,Serotonin             1A,Inhibitory
Orexin,ORX-A,Excitatory
Corticotrophin-releasing factor,CRF-1,Excitatory
Glucocorticoids,"GR, MR",
Opioids,"Cannabinoid-1 Mu, Kappa",Inhibitory
Substance P,SP,Excitatory
Melanin concentrating hormone,MCH-1,Inhibitory
Somatostatin,SS-1−3,Inhibitory
Neuropeptide Y,NPY,Inhibitory
